2=version S,Active,Move,(5;0),(5;1),(5;2),(5;3),(5;4),(4;0),(4;1),(4;2),(4;3),(4;4),(3;0),(3;1),(3;2),(3;3),(3;4),(2;0),(2;1),(2;2),(2;3),(2;4),(1;0),(1;1),(1;2),(1;3),(1;4),(0;0),(0;1),(0;2),(0;3),(0;4),Total,Start,End,Trial to win
19,1,9,,2026,,,,2001,,3000,,,2001,2001,,,,2001,,2001,,2026,,2001,2026,,2001,2004,2001,,,2001,14,0;3,5;0,
20,-1,11,,2001,2001,2004,,,2026,2001,,2001,,2001,,2026,2026,,3000,2001,,2001,,2026,,2021,,,2001,,2001,2026,17,0;0,5;4,
21,1,9,,,,2002,,,2004,2004,,2002,2002,,2002,,2027,,2002,2027,,3000,,2002,2002,,2002,,,2002,2002,2027,16,0;0,5;4,
22,1,9,2004,,2002,,,,3000,2027,,2002,,2002,2027,,,3000,2027,,,2004,,,2002,2004,,,2002,,2027,,14,0;0,5;3,
23,1,9,2002,,,2002,,,3000,,2027,2027,2002,2004,,2002,2027,2002,,2002,2004,,2027,,2027,,2002,,2027,,,,16,0;0,5;4,
24,1,9,,2002,2027,2027,,2002,2027,2002,,,2004,2027,,3000,2002,2004,,2027,2002,,2002,,2002,2002,,2027,,2002,2002,,19,0;4,5;0,
25,-1,10,,2002,,2002,3000,2002,2027,,2002,,2027,3000,2004,2002,,2027,2002,2002,,2027,2002,3000,,,2002,2004,2002,2027,,2002,21,0;3,4;0,
26,1,9,2027,2027,2001,,,2015,,2027,2004,2015,,2027,,2027,2004,,215,2027,,2015,2027,2015,,2001,2004,,,,2015,2027,19,0;0,5;4,
27,1,9,2027,2015,,2001,,2015,,,2015,2004,,2001,2027,,2015,,2027,,2001,2001,2001,,2004,2027,2027,,,2015,,2027,18,0;0,5;4,
28,1,9,2004,,2015,,,2001,,2015,,,2027,2027,,2004,,2015,,2001,2004,2001,2001,,2015,,2027,,2027,2015,,2004,17,0;0,5;4,
29,1,9,2001,2001,2004,2027,,,2001,2027,2001,,2027,,2015,,2001,2004,2027,2001,2027,,2001,2004,,2015,,,,2015,2004,,19,0;0,5;4,
30,-1,10,2015,,2001,,,2027,,2015,,2027,2001,2001,,2015,,2027,2004,2001,,2015,2001,2001,2001,,2015,,,2027,2027,2001,19,0;0,5;4,
31,1,9,2007,2007,2003,,,2007,,2007,2003,,2005,,2007,,2007,,,2007,2003,,2007,,2007,,2007,,2003,,2007,2007,17,0;0,5;4,
32,1,9,2007,,2007,,,2007,,2007,,2007,2003,2007,,2007,,2003,2007,,2007,,2007,2003,,2003,2003,,2003,2007,,2003,18,0;0,5;4,
33,1,9,,2003,2003,2003,,,2007,2007,,,2007,2007,2003,2007,,2003,2007,,2003,2007,2003,,,2007,2007,,,2007,2007,,18,0;0,5;4,
34,1,9,2003,,2007,,,2007,2007,2003,,2007,2007,2003,2003,,2003,2007,,2007,2003,2007,2007,2003,2003,,2003,,,2003,2007,,20,0;0,5;4,
35,-1,10,2007,2003,2007,2007,,,2007,,2007,2003,2003,,2007,2007,,2003,2007,2007,2003,,2003,2003,,2007,2007,,2007,,2007,2003,21,0;0,5;4,
36,1,9,,2001,,2001,2015,2001,,,2015,,2001,2015,,2015,2001,2015,,,2001,2001,,2015,2001,2001,,2001,,2015,2001,,18,0;4,5;0,
37,1,9,,2001,2002,,2001,2002,,2002,2002,2001,,2001,2002,,2001,,2002,2002,,2001,2001,,2002,2002,,2002,2002,,2001,,19,0;4,5;0,
38,1,9,,2001,,2002,,2002,2001,,2001,2002,,2002,2002,2001,,2002,,2002,,2001,,2002,,2001,2002,,2001,2002,2001,,18,0;4,5;0,
39,1,9,,2002,2002,2002,2001,2001,2001,,2002,,2001,,2002,2001,2002,,,2001,2002,,2002,2002,2001,,2001,2002,,2002,,,19,0;4,5;0,
40,-1,10,,2001,2002,2002,,2002,,2001,2001,,2001,2002,,2001,2001,2002,,2002,2002,2001,,2002,2002,2001,,2001,2002,,2001,,20,0;4,5;0,
41,1,9,,2003,,2002,,2003,2002,,2003,2003,,,2002,,2002,,2002,2003,,2002,2003,,2002,,,,2002,2002,2002,,16,0;4,5;0,
42,1,9,,2002,2002,,2003,,,2003,2002,,2002,2003,,,2002,2002,,,2003,2002,,2003,2003,,2002,2002,2002,,2002,,17,0;4,5;0,
43,1,9,,2003,2002,,2003,2003,,2002,,2003,,2002,2003,2002,,2002,2003,,2002,,2003,2003,,2002,2003,,2003,2003,2002,,19,0;4,5;0,
44,1,9,,2003,,2002,,2002,2002,2003,,,2003,,2003,,2002,2003,,2002,,2003,2002,,2002,,2002,2003,,2002,2003,,17,0;4,5;0,
45,-1,10,,2002,2002,,2002,2002,,2003,2002,2003,2002,2003,,2002,,2003,2002,2003,2002,,2003,2002,,2002,2003,,2002,,2003,,20,0;4,5;0,
46,1,9,2003,2004,,2001,,2002,,,2002,,2003,2001,,,2003,,2003,,2001,2003,2003,,2002,,2001,,,2003,,2002,16,0;0,5;4,
47,1,9,2001,,2002,2002,,,2003,,2001,2003,,,2001,2001,,2002,,2003,,2001,,2001,,2002,2003,,,2002,2002,,16,0;0,5;4,
48,1,9,2002,2001,,2001,,2003,2002,2002,,2003,2003,2003,2003,,,2001,,,2003,2003,,2002,2002,,2002,,2002,2002,,2001,19,0;0,5;4,
49,1,9,2002,2001,2002,2001,,2003,,2003,2001,,2002,,2003,2003,,,2002,,2001,2001,,2001,,2002,2003,,2003,2002,,,18,0;0,5;4,
50,-1,10,,2002,2002,,,2002,,2002,2002,2002,2002,2002,,,2002,2002,,2003,2003,,2002,,2003,,2002,,2002,2002,2003,2003,19,0;0,5;4,
51,1,9,2027,2006,2027,2006,,2006,2006,,,2006,,2027,2006,,,2006,2027,,2027,2006,,,2006,2027,,,2027,,2027,2006,18,0;0,5;4,
52,1,9,2006,,2027,2006,,2027,,2027,2006,,2027,2006,,,2006,2006,,,2006,2027,2027,,2006,,2027,,,2006,,2027,17,0;0,5;4,
53,1,9,,2027,2006,2027,,2006,2027,,2006,2027,,2027,,2027,,2006,2027,2006,,,2027,2006,,2027,2006,,,2027,2006,2027,19,0;0,5;4,
54,1,9,2027,2006,,2027,,2027,,2006,2027,,2006,2027,2027,,2006,2027,,2006,2027,2006,,2006,2027,,2006,,2006,2027,2027,2006,21,0;0,5;4,
55,-1,10,2006,,2027,2006,,2027,2027,,2006,2027,,2006,2027,,2027,2006,2027,2027,,2027,2006,,,2006,2027,,,2006,2027,2027,20,0;0,5;4,
56,1,9,2006,2007,,2007,,2006,2007,,2007,,2007,,2007,2006,,,2006,2007,,2007,2007,,,2007,2006,,2007,,,2006,17,0;0,5;4,
57,1,9,,,2007,2007,,2007,2006,2007,,2007,2006,,2007,,2007,2006,,2007,2006,,,2006,2007,,2007,,,2007,,2006,17,0;0,5;4,
58,1,9,2006,2007,,2007,,2007,,2007,2007,2006,,2007,,2007,2006,,2007,2006,,2007,,2007,2006,2007,,,2007,,2006,,18,0;0,5;4,
59,1,9,2006,,2007,2006,,2007,2006,,,2007,2006,2007,,2007,2007,,2007,,2007,2006,2007,,2007,2006,2007,,,2006,2007,,19,0;0,5;4,
60,-1,10,,2006,2007,2007,,2006,,2007,2006,2007,,2007,2006,,2007,2006,,2007,2006,2007,,2007,2006,2007,,,2007,,2006,2007,20,0;0,5;4,
61,1,9,,3000,3000,,3000,3000,3000,3000,,3000,,3000,,3000,3000,,3000,3000,3000,,3000,,3000,,3000,3000,,3000,3000,,19,0;4,5;0,
62,1,9,,,2009,2009,2008,2009,,2008,2009,2009,,2009,,2009,2009,2008,,2009,2009,,2008,2009,,2009,2009,3000,,2008,2009,,20,0;4,5;0,
63,1,9,,2001,2006,2001,,2001,2006,,2001,,2001,2006,,2001,2001,,2001,,2006,2001,2001,,2006,,2001,2006,2001,,2001,,19,0;4,5;0,
64,1,9,,,2001,2001,2006,2001,,2006,,2001,2001,,2006,,2001,2001,2006,,2001,,2001,2006,2001,,2001,2006,2006,,2001,,19,0;4,5;0,
65,-1,10,,2006,,2001,2001,2006,2001,,2001,2001,2006,2001,2001,,2006,2001,,2001,2001,2006,2001,,2001,2006,2001,2006,,2006,2001,,22,0;4,5;0,
66,1,9,,2027,2027,2006,2001,2006,,2027,2001,,,2001,2027,,2001,2006,2001,,2001,2027,,2001,2006,,2001,2027,,,2027,,19,0;4,5;0,
67,1,9,,2001,,2001,2006,,2027,,2001,2006,,2001,,2001,,2027,2006,,2001,2006,2001,,,2001,2006,2001,,,2006,,17,0;4,5;0,
68,1,9,,2027,,2006,2027,2001,2006,,,2001,2027,,2001,2027,,2006,2001,,2027,2001,,2006,2001,,2001,2027,,2006,2001,,19,0;4,5;0,
69,1,9,,,2001,2001,2006,,2001,2001,2006,,2001,2006,2001,,2001,2001,,2001,,2006,,2001,,2027,,2006,2006,,2001,,18,0;4,5;0,
70,-1,10,,2001,,2001,2027,2001,2027,3000,2001,2027,2001,,2027,2001,,3000,2001,,2001,2027,2001,,3000,,2001,2027,,3000,2027,,21,0;4,5;0,
71,1,9,2002,2010,2002,,,2010,2002,,,2002,2010,,,2002,2010,2002,,2002,,2010,2002,,2002,2010,,,2010,,2002,2002,18,0;0,5;4,
72,1,9,,2002,2010,2002,,2002,2002,2010,,2002,2002,2010,2002,,,2010,2002,2002,,2002,2010,,2002,,2002,,2002,2010,,,19,0;0,5;4,
73,1,9,,2010,2002,2002,,,2002,2002,2010,,2002,,2002,2002,2010,,2002,,2010,2002,,2002,2002,2010,,,,2010,2002,,18,0;0,5;4,
74,1,9,2002,2002,,2010,,2010,2002,,2002,2010,,2002,,2010,2002,,2002,2010,,2002,2010,,,2002,2010,,,2002,,2002,18,0;0,5;4,
75,-1,10,2010,,2002,2002,,2002,2010,2002,,2002,2002,2010,2002,,2010,2002,,2002,2002,,2010,2010,2002,,2002,,,2010,2002,,20,0;0,5;4,
76,1,9,,2007,,2007,,2007,2010,,2007,,2010,2007,,2010,2007,,,2007,2010,,2007,2010,,2007,,,2007,,2010,2007,17,0;0,5;4,
77,1,9,2010,,2007,,,2007,2007,2010,,2007,2010,,2007,2010,2007,,2010,,2007,,2007,2010,,2007,2010,,2007,,2007,2010,19,0;0,5;4,
78,1,9,2007,,2010,2007,,,2007,,2007,2010,,2007,2007,,2010,2007,2007,2010,2010,2007,,2007,2010,,2007,,2010,,,2007,19,0;0,5;4,
79,1,9,2007,2010,2007,,,2007,2010,2007,,2007,2007,,2010,2007,2010,,2007,2007,,2010,2007,,2007,2007,,,2007,,2010,,19,0;0,5;4,
80,-1,10,2007,2007,,2010,,2010,2007,,2010,2007,2010,2007,,2010,2007,,2007,,2007,2007,2010,2007,,2010,2007,,,2010,2007,2010,21,0;0,5;4,
