duplicated,key,Origin,English (en),Font,Vietnamese (vi),Font,Rich text
FALSE,popup_detail_credit,"Thank you for playing our game! 
Developer: Tony. 
Game designer: KazuD. 
Don’t hesitate to leave review us on store. 
Support mail: nhatlongnguyen1507@gmail.com","Thank you for playing our game! 
Developer: Tony. 
Game designer: KazuD. 
Don’t hesitate to leave review us on store. 
Support mail: nhatlongnguyen1507@gmail.com",Roboto-Regular SDF,"Cảm ơn các bạn đã dành thời gian chơi game!
Lập trình viên: Tony.
Game Designer: KazuD.
Đừng ngại để lại đánh giá cho game trên cửa hàng nhé!
Email hỗ trợ: nhatlongnguyen1507@gmail.com",Roboto-Regular SDF,
FALSE,button_yes,YES,YES,RobotoSemi-Bold SDF,CÓ,RobotoSemi-Bold SDF,
FALSE,button_no,NO,NO,RobotoSemi-Bold SDF,KHÔNG,RobotoSemi-Bold SDF,
FALSE,button_ok,OK,OK,RobotoSemi-Bold SDF,OK,RobotoSemi-Bold SDF,
FALSE,tutorial_how_to_win,How to win?,How to win?,RobotoSemi-Bold SDF,Làm thế nào để giành chiến thắng?,RobotoSemi-Bold SDF,
FALSE,tutorial_how_to_win_explain,Reach to the girl within limited moves and don’t loose all HP.,Reach to the girl within limited moves and don’t loose all HP.,Roboto-Regular SDF,"Trong số nước đi giới hạn, thành công di chuyển tới vị trí của nhân vật nữ và không để mất toàn bộ HP nhân vật của bạn.",Roboto-Regular SDF,
FALSE,tutorial_how_to_move,How to move?,How to move?,RobotoSemi-Bold SDF,Làm thế nào để di chuyển?,RobotoSemi-Bold SDF,
FALSE,tutorial_how_to_move_explain,Tap on the square to move one by one!,Tap on the square to move one by one!,Roboto-Regular SDF,Chạm vào ô bên cạnh nhân vật của bạn để di chuyển từng ô một!,Roboto-Regular SDF,
FALSE,tutorial_use_skill,Use Skill,Use Skill,RobotoSemi-Bold SDF,Sử dụng kỹ năng,RobotoSemi-Bold SDF,
FALSE,tutorial_use_skill_explain,Tap on Skill button to use rider skill. Skill has a limited time to use.,Tap on Skill button to use rider skill. Skill has a limited time to use.,Roboto-Regular SDF,Chạm vào nút Kỹ năng để sử dụng kỹ năng của nhân vật. Kỹ năng có số lần sử dụng hạn chế.,Roboto-Regular SDF,
FALSE,tutorial_replay,Replay,Replay,RobotoSemi-Bold SDF,Chơi lại,RobotoSemi-Bold SDF,
FALSE,tutorial_replay_explain,Tap on Replay button. All collected resources from the last playing are reset.,Tap on Replay button. All collected resources from the last playing are reset.,Roboto-Regular SDF,Chạm vào nút Chơi lại. Tất cả tài nguyên thu thập được từ lần chơi gần nhất sẽ được đặt lại.,Roboto-Regular SDF,
FALSE,library_feature_name,RIDECODEX,RIDECODEX,RobotoSemi-Bold SDF,RIDECODEX,RobotoSemi-Bold SDF,
FALSE,library_button_tutorial,TUTORIAL,TUTORIAL,RobotoSemi-Bold SDF,HƯỚNG DẪN,RobotoSemi-Bold SDF,
FALSE,library_rider_section_title,RIDER,RIDER,RobotoSemi-Bold SDF,RIDER,RobotoSemi-Bold SDF,
FALSE,library_object_section_title,ENTITY,ENTITY,RobotoSemi-Bold SDF,THỰC THỂ,RobotoSemi-Bold SDF,
FALSE,library_rider_amount,Owned:,Owned:,Roboto-Regular SDF,Đã sở hữu:,Roboto-Regular SDF,
FALSE,library_object_amount,Seen:,Seen:,Roboto-Regular SDF,Đã gặp: ,Roboto-Regular SDF,
FALSE,library_rider_battle infor,BATTE INFORMATION,BATTE INFORMATION,RobotoSemi-Bold SDF,THÔNG TIN CHIẾN ĐẤU,RobotoSemi-Bold SDF,
FALSE,library_rider_form,FORM,FORM,RobotoSemi-Bold SDF,HÌNH DẠNG,RobotoSemi-Bold SDF,
FALSE,library_rider_weight,WEIGHT:,WEIGHT:,RobotoSemi-Bold SDF,NẶNG:,RobotoSemi-Bold SDF,
FALSE,library_rider_height,HEIGHT:,HEIGHT:,RobotoSemi-Bold SDF,CAO:,RobotoSemi-Bold SDF,
FALSE,library_rider_punch_power,PUNCH:,PUNCH:,RobotoSemi-Bold SDF,LỰC ĐẤM:,RobotoSemi-Bold SDF,
FALSE,library_rider_kick_power,KICK:,KICK:,RobotoSemi-Bold SDF,LỰC ĐÁ:,RobotoSemi-Bold SDF,
FALSE,shop_title,SHOP,SHOP,RobotoSemi-Bold SDF,CỬA HÀNG,RobotoSemi-Bold SDF,
FALSE,shop_daily_pack_title,Daily gift,Daily gift,Roboto-Regular SDF,Quà mỗi ngày,Roboto-Regular SDF,
FALSE,shop_daily_pack_tag_free,FREE,FREE,RobotoSemi-Bold SDF,MIỄN PHÍ,RobotoSemi-Bold SDF,
FALSE,button_exchange,EXCHANGE,EXCHANGE,RobotoSemi-Bold SDF,ĐỔI,RobotoSemi-Bold SDF,
FALSE,shop_help_money_1_title,ABOUT HAPI,ABOUT HAPI,RobotoSemi-Bold SDF,VỀ HAPI,RobotoSemi-Bold SDF,
FALSE,shop_help_money_1_content,"Hapi is a common money which could be found while playing and doing quests. ""Hapi"" means ""happy"" so be happy, players.","Hapi is a common money which could be found while playing and doing quests. ""Hapi"" means ""happy"" so be happy, players.",Roboto-Regular SDF,"Hapi là loại tiền tệ phổ thông thường được tìm thấy trong quá trình chơi và làm nhiệm vụ. ""Hapi"" có nghĩa là hạnh phúc!",Roboto-Regular SDF,
FALSE,shop_help_hot_deal_title,HOT DEAL,HOT DEAL,RobotoSemi-Bold SDF,ƯU ĐÃI,RobotoSemi-Bold SDF,
FALSE,shop_help_hot_deal_content,You could exchange a free gift daily.,You could exchange a free gift daily.,Roboto-Regular SDF,"Mỗi ngày, bạn có thể nhận được một món quà miễn phí.",Roboto-Regular SDF,
FALSE,shop_help_rider_shop_title,RIDER RECRUITMENT,RIDER RECRUITMENT,RobotoSemi-Bold SDF,TUYỂN MỘ RIDER,RobotoSemi-Bold SDF,
FALSE,shop_help_rider_shop_content,You could recruit new riders by using Hapi.,You could recruit new riders by using Hapi.,Roboto-Regular SDF,Bạn có thể sử dụng Hapi để tuyển mộ Rider mới.,Roboto-Regular SDF,
FALSE,button_shop_hot_deal,HOT DEAL,HOT DEAL,RobotoSemi-Bold SDF,ƯU ĐÃI,RobotoSemi-Bold SDF,
FALSE,button_shop_rider,RIDER,RIDER,RobotoSemi-Bold SDF,RIDER,RobotoSemi-Bold SDF,
FALSE,shop_claimed,Claimed,Claimed,Roboto-Regular SDF,Đã nhận,Roboto-Regular SDF,
FALSE,shop_receive_package,You received,You received,Roboto-Regular SDF,Bạn nhận được,Roboto-Regular SDF,
FALSE,shop_owned_rider,Owned,Owned,Roboto-Regular SDF,Đã có,Roboto-Regular SDF,
FALSE,shop_noti_buy_rider,Are you sure to recruit this rider?,Are you sure to recruit this rider?,Roboto-Regular SDF,Bạn có chắc chắn muốn tuyển mộ Rider này?,Roboto-Regular SDF,
FALSE,shop_congratulation_title,CONGRATULATION,CONGRATULATION,RobotoSemi-Bold SDF,CHÚC MỪNG,RobotoSemi-Bold SDF,
FALSE,shop_congratulation_rider_get,You received a new rider,You received a new rider,Roboto-Regular SDF,Bạn nhận được một Rider mới,Roboto-Regular SDF,
FALSE,shop_sort_default,Default,Default,Roboto-Regular SDF,Mặc định,Roboto-Regular SDF,
FALSE,shop_sort_day,Day,Day,Roboto-Regular SDF,Theo ngày,Roboto-Regular SDF,
FALSE,shop_sort_price,Price,Price,Roboto-Regular SDF,Theo giá,Roboto-Regular SDF,
FALSE,button_return_player,RETURN PLAYER,RETURN PLAYER,RobotoSemi-Bold SDF,NGƯỜI CHƠI CŨ,RobotoSemi-Bold SDF,
FALSE,button_new_player,NEW PLAYER,NEW PLAYER,RobotoSemi-Bold SDF,NGƯỜI CHƠI MỚI,RobotoSemi-Bold SDF,
FALSE,login_popup_title,Login to your account,Login to your account,RobotoSemi-Bold SDF,Đăng nhập tài khoản,RobotoSemi-Bold SDF,
FALSE,login_popup_email,Email,Email,Roboto-Regular SDF,Email,Roboto-Regular SDF,
FALSE,login_popup_password,Password,Password,Roboto-Regular SDF,Mật khẩu,Roboto-Regular SDF,
FALSE,login_popup_display_name,Display name,Display name,Roboto-Regular SDF,Tên hiển thị,Roboto-Regular SDF,
FALSE,login_popup_email_guide_1,Enter your registed email here,Enter your registed email here,Roboto-Regular SDF,Nhập vào đây email đã đăng ký,Roboto-Regular SDF,
FALSE,login_popup_password_guide_1,Enter your registed password here,Enter your registed password here,Roboto-Regular SDF,Nhập vào mật khẩu đã đăng ký,Roboto-Regular SDF,
FALSE,login_popup_forget_password,Forgot your password,Forgot your password,Roboto-Regular SDF,Quên mật khẩu,Roboto-Regular SDF,
FALSE,button_login,LOG IN,LOG IN,RobotoSemi-Bold SDF,ĐĂNG NHẬP,RobotoSemi-Bold SDF,
FALSE,login_popup_wrong_password,Wrong username or password,Wrong username or password,RobotoSemi-Bold SDF,Sai tên người chơi hoặc mật khẩu,RobotoSemi-Bold SDF,
FALSE,login_popup_email_guide_2,Enter your email here,Enter your email here,Roboto-Regular SDF,Nhập vào đây email của bạn,Roboto-Regular SDF,
FALSE,login_popup_password_guide_2,Enter your password here,Enter your password here,Roboto-Regular SDF,Nhập vào đây mật khẩu của bạn,Roboto-Regular SDF,
FALSE,login_popup_display_name_guide,Enter your display name within 14 characters,Enter your display name within 14 characters,Roboto-Regular SDF,Nhập vào tên hiển thị dưới 14 ký tự,Roboto-Regular SDF,
FALSE,button_register,REGISTER,REGISTER,RobotoSemi-Bold SDF,ĐĂNG KÝ,RobotoSemi-Bold SDF,
FALSE,login_popup_register_success,Successfully registered,Successfully registered,Roboto-Regular SDF,Đăng ký thành công,Roboto-Regular SDF,
FALSE,login_popup_my_account,My account,My account,RobotoSemi-Bold SDF,Tài khoản của tôi,RobotoSemi-Bold SDF,
FALSE,button_my_account,MY ACCOUNT,MY ACCOUNT,RobotoSemi-Bold SDF,TÀI KHOẢN CỦA TÔI,RobotoSemi-Bold SDF,
FALSE,register_new_account,Register new account,Register new account,RobotoSemi-Bold SDF,Tạo tài khoản mới,RobotoSemi-Bold SDF,
FALSE,forget_password_title,Reset password,Reset password,RobotoSemi-Bold SDF,Đặt lại mật khẩu,RobotoSemi-Bold SDF,
FALSE,forget_password_content,The new password will be sent to your registed email.,The new password will be sent to your registed email.,Roboto-Regular SDF,Mật khẩu mới sẽ được gửi tới email bạn đã đăng ký.,Roboto-Regular SDF,
FALSE,button_logout,LOG OUT,LOG OUT,RobotoSemi-Bold SDF,ĐĂNG XUẤT,RobotoSemi-Bold SDF,
FALSE,button_reset,RESET,RESET,RobotoSemi-Bold SDF,Đặt lại ,RobotoSemi-Bold SDF,
FALSE,library_rider_story,STORY,STORY,RobotoSemi-Bold SDF,CHUYỆN KỂ,RobotoSemi-Bold SDF,
FALSE,library_story_unlock_condition,Unlock after completing each 30 stage,Unlock after completing each 30 stage,Roboto-Regular SDF,Mở khóa mỗi khi hoàn thành 30 màn ,Roboto-Regular SDF,
FALSE,quest_daily_quest_title,DAILY QUEST,DAILY QUEST,RobotoSemi-Bold SDF,NHIỆM VỤ HÀNG NGÀY,RobotoSemi-Bold SDF,
FALSE,quest_achievement_title,ACHIEVEMENT,ACHIEVEMENT,RobotoSemi-Bold SDF,THÀNH TỰU,RobotoSemi-Bold SDF,
FALSE,button_complete_all,COMPLETE ALL,COMPLETE ALL,RobotoSemi-Bold SDF,NHẬN TẤT,RobotoSemi-Bold SDF,
FALSE,button_daily_quest,DAILY QUEST,DAILY QUEST,RobotoSemi-Bold SDF,NHIỆM VỤ NGÀY,RobotoSemi-Bold SDF,
FALSE,button_achievement,ACHIEVEMENT,ACHIEVEMENT,RobotoSemi-Bold SDF,THÀNH TỰU,RobotoSemi-Bold SDF,
FALSE,quest_reset_time,Daily quests reset in:,Daily quests reset in:,Roboto-Regular SDF,Làm mới sau:,Roboto-Regular SDF,
FALSE,quest_tag_completed,Completed,Completed,Roboto-Regular SDF,Đã hoàn thành,Roboto-Regular SDF,
FALSE,quest_daily_quest_all_completed,All today quests have been completed.,All today quests have been completed.,Roboto-Regular SDF,Bạn đã hoàn thành tất cả nhiệm vụ hôm nay.,Roboto-Regular SDF,
FALSE,quest_count_complete_achievement,Total completed achievement:,Total completed achievement:,Roboto-Regular SDF,Số thành tựu hoàn thành:,Roboto-Regular SDF,
FALSE,quest_help_daily_quest_title,DAILY QUEST,DAILY QUEST,RobotoSemi-Bold SDF,NHIỆM VỤ NGÀY,RobotoSemi-Bold SDF,
FALSE,quest_help_daily_quest_content,Complete quests to earn a stamp daily. Collect 7 stamps to receive a big reward.,Complete quests to earn a stamp daily. Collect 7 stamps to receive a big reward.,Roboto-Regular SDF,Hoàn thành nhiệm vụ để nhận con dấu mỗi ngày. Thu thập đủ 7 con dấu để nhận phần thưởng lớn.,Roboto-Regular SDF,
FALSE,quest_help_achivement_title,ACHIEVEMENT,ACHIEVEMENT,RobotoSemi-Bold SDF,THÀNH TỰU,RobotoSemi-Bold SDF,
FALSE,quest_help_achivement_content,Complete achievements to get rewards.,Complete achievements to get rewards.,Roboto-Regular SDF,Hoàn thành các thành tựu để nhận phần thưởng.,Roboto-Regular SDF,
FALSE,shop_help_quest_stamp_title,QUEST STAMP,QUEST STAMP,RobotoSemi-Bold SDF,DẤU ẤN NHIỆM VỤ,RobotoSemi-Bold SDF,
FALSE,shop_help_quest_stamp_content,You an earn 1 stamp for each day when completing at least a quest.,You an earn 1 stamp for each day when completing at least a quest.,Roboto-Regular SDF,Bạn có thể nhận được 1 dấu ấn mỗi ngày khi hoàn thành ít nhất 1 nhiệm vụ.,Roboto-Regular SDF,
FALSE,new_title,NEWS,NEWS,RobotoSemi-Bold SDF,TIN TỨC,RobotoSemi-Bold SDF,
FALSE,button_update,UPDATE,UPDATE,RobotoSemi-Bold SDF,CẬP NHẬT,RobotoSemi-Bold SDF,
FALSE,popup_update_title,Update new version,Update new version,RobotoSemi-Bold SDF,Cập nhật phiên bản,RobotoSemi-Bold SDF,
FALSE,popup_update_content,New version is available. Please update to access full feature!,New version is available. Please update to access full feature!,Roboto-Regular SDF,Phiên bản mới đã có. Hãy cập nhật để truy cập đầy đủ tính năng,Roboto-Regular SDF,
FALSE,loading_screen_tip_1,You win a stage when reaching the girl without losing all HP of rider,You win a stage when reaching the girl without losing all HP of rider,Roboto-Regular SDF,Bạn sẽ thắng một màn chơi khi đi tới cô gái mà không mất toàn bộ HP.,Roboto-Regular SDF,
FALSE,loading_screen_tip_2,"Hapi is an useful resource, let's earn as much as possible.","Hapi is an useful resource, let's earn as much as possible.",Roboto-Regular SDF,"Hapi là tài nguyên hữu dụng, hãy kiếm nhiều nhất có thể",Roboto-Regular SDF,
FALSE,loading_screen_tip_3,Don't forget claim daily gift in Shop everyday!,Don't forget claim daily gift in Shop everyday!,Roboto-Regular SDF,Đừng quên nhận quà miễn phí trong Cửa hàng mỗi ngày!,Roboto-Regular SDF,
FALSE,loading_screen_tip_4,Each Rider has a unique skill.,Each Rider has a unique skill.,Roboto-Regular SDF,Mỗi Rider đều có một kỹ năng riêng biệt.,Roboto-Regular SDF,
FALSE,loading_screen_tip_5,Each chapter of story is unlocked after winning every 30 stages,Each chapter of story is unlocked after winning every 30 stages,Roboto-Regular SDF,Mỗi chương truyện được mở khoá khi thắng 30 màn chơi.,Roboto-Regular SDF,
FALSE,quest_stamp_earn_tip,You can earn more stamp tomorrow,You can earn more stamp tomorrow,Roboto-Regular SDF,Bạn có thể nhận thêm dấu ấn vào ngày mai,Roboto-Regular SDF,
FALSE,stage_all_completed,All current stages have been completed,All current stages have been completed,Roboto-Regular SDF,Bạn đã hoàn thành tất cả màn chơi hiện tại,Roboto-Regular SDF,
FALSE,laboratory_title,LABORATORY,LABORATORY,RobotoSemi-Bold SDF,PHÒNG THÍ NGHIỆM,RobotoSemi-Bold SDF,
FALSE,button_rider_enhance,RIDER ENHANCE,RIDER ENHANCE,RobotoSemi-Bold SDF,NÂNG CẤP RIDER,RobotoSemi-Bold SDF,
FALSE,button_inventory,INVENTORY,INVENTORY,RobotoSemi-Bold SDF,TÚI ĐỒ,RobotoSemi-Bold SDF,
FALSE,button_level_up,LEVEL UP,LEVEL UP,RobotoSemi-Bold SDF,NÂNG CẤP,RobotoSemi-Bold SDF,
FALSE,button_regen,REGEN,REGEN,RobotoSemi-Bold SDF,HỒI PHỤC,RobotoSemi-Bold SDF,
FALSE,succes_rate,Success rate:,Success rate:,Roboto-Regular SDF,Tỷ lệ thành công:,Roboto-Regular SDF,
FALSE,level_up_failed,Level up failed,Level up failed,Roboto-Regular SDF,Lên cấp thất bại,Roboto-Regular SDF,
FALSE,level_up_succeeded,Level up succeeded,Level up succeeded,Roboto-Regular SDF,Lên cấp thành công,Roboto-Regular SDF,
FALSE,button_cancel,CANCEL,CANCEL,RobotoSemi-Bold SDF,HỦY,RobotoSemi-Bold SDF,
FALSE,level_title,LEVEL,LEVEL,Roboto-Regular SDF,CẤP,Roboto-Regular SDF,
FALSE,rider_enhance,RIDER ENHANCE,RIDER ENHANCE,RobotoSemi-Bold SDF,NÂNG CẤP RIDER,RobotoSemi-Bold SDF,
FALSE,inventory_help_content,Use resources from playing stages to level up and regen rider stats.,Use resources from playing stages to level up and regen rider stats.,Roboto-Regular SDF,Sử dụng tài nguyên từ các màn chơi để tăng cấp và phục hồi chỉ số của rider.,Roboto-Regular SDF,
FALSE,tag_not_owned,NOT OWNED,NOT OWNED,Roboto-Regular SDF,CHƯA CÓ,Roboto-Regular SDF,
FALSE,warning_not_enough_hapi,Not enough Hapi,Not enough Hapi,Roboto-Regular SDF,Không đủ Hapi,Roboto-Regular SDF,
