Is_duplicated,key,Origin,English (en),Font,Vietnamese (vi),Font,RichText
FALSE,object_name_2017,MINOR WISH,MINOR WISH,RobotoSemi-Bold SDF,ƯỚC NGUYỆN NHỎ,RobotoSemi-Bold SDF,
FALSE,object_name_2018,SUPER BOMB,SUPER BOMB,RobotoSemi-Bold SDF,SIÊU BOM,RobotoSemi-Bold SDF,
FALSE,object_name_2019,THIEF,THIEF,RobotoSemi-Bold SDF,ĐẠO TẶC,RobotoSemi-Bold SDF,
FALSE,object_name_2020,ATTACK RIDE R,ATTACK RIDE R,RobotoSemi-Bold SDF,CÔNG PHÁ HÀNG,RobotoSemi-Bold SDF,
FALSE,object_name_2021,ATTACK RIDE C,ATTACK RIDE C,RobotoSemi-Bold SDF,CÔNG PHÁ CỘT,RobotoSemi-Bold SDF,
FALSE,object_name_2022,GOLD,GOLD,RobotoSemi-Bold SDF,VÀNG,RobotoSemi-Bold SDF,
FALSE,object_name_2023,ENHANCE,ENHANCE,RobotoSemi-Bold SDF,BÙA TĂNG CƯỜNG,RobotoSemi-Bold SDF,
FALSE,object_name_2024,FORCE,FORCE,RobotoSemi-Bold SDF,BẮT ÉP,RobotoSemi-Bold SDF,
FALSE,object_name_2025,TRAP HOLE,TRAP HOLE,RobotoSemi-Bold SDF,BẪY HỐ,RobotoSemi-Bold SDF,
FALSE,object_name_2026,TREE,TREE,RobotoSemi-Bold SDF,CÂY XANH,RobotoSemi-Bold SDF,
FALSE,object_name_2027,WATER POUND,WATER POUND,RobotoSemi-Bold SDF,HỒ NƯỚC NHỎ,RobotoSemi-Bold SDF,
,object_name_2028,GRASS,GRASS,Roboto-Regular SDF,BỤI CỎ,RobotoSemi-Bold SDF,
FALSE,object_story_3000,Investigated...,Investigated...,Roboto-Regular SDF,Investigated...,Roboto-Regular SDF,
FALSE,object_story_2001,"Artificial creatures, created from Myamato seeds and grown in stages like plants, from larvae to adult forms with terrifying intelligence and strength.","Artificial creatures, created from Myamato seeds and grown in stages like plants, from larvae to adult forms with terrifying intelligence and strength.",Roboto-Regular SDF,"Những sinh vật nhân tạo, được tạo ra từ hạt giống Myamato và phát triển theo từng giai đoạn như thực vật, từ ấu trùng đến dạng trưởng thành có trí khôn và sức mạnh đáng sợ.",Roboto-Regular SDF,
FALSE,object_story_2002,Bombs are used to stop Myamoto fruit thieves. They are very destructive but can also be useful in some ways.,Bombs are used to stop Myamoto fruit thieves. They are very destructive but can also be useful in some ways.,Roboto-Regular SDF,Những quả bom được sử dụng để ngăn chặn kẻ trộm trái Myamoto. Chúng có sức sát thương lớn nhưng đôi khi cũng hữu ích ở một khía cạnh nào đó.,Roboto-Regular SDF,
FALSE,object_story_2003,Investigated...,Investigated...,Roboto-Regular SDF,Đang tìm kiếm...,Roboto-Regular SDF,
FALSE,object_story_2004,Investigated...,Investigated...,Roboto-Regular SDF,Đang tìm kiếm...,Roboto-Regular SDF,
FALSE,object_story_2005,Investigated...,Investigated...,Roboto-Regular SDF,Đang tìm kiếm...,Roboto-Regular SDF,
FALSE,object_story_2006,Investigated...,Investigated...,Roboto-Regular SDF,Đang tìm kiếm...,Roboto-Regular SDF,
FALSE,object_story_2007,Investigated...,Investigated...,Roboto-Regular SDF,Đang tìm kiếm...,Roboto-Regular SDF,
FALSE,object_story_2008,Investigated...,Investigated...,Roboto-Regular SDF,Đang tìm kiếm...,Roboto-Regular SDF,
FALSE,object_story_2009,Investigated...,Investigated...,Roboto-Regular SDF,Đang tìm kiếm...,Roboto-Regular SDF,
FALSE,object_story_2010,Investigated...,Investigated...,Roboto-Regular SDF,Đang tìm kiếm...,Roboto-Regular SDF,
FALSE,object_story_2011,Investigated...,Investigated...,Roboto-Regular SDF,Đang tìm kiếm...,Roboto-Regular SDF,
FALSE,object_story_2012,Investigated...,Investigated...,Roboto-Regular SDF,Đang tìm kiếm...,Roboto-Regular SDF,
FALSE,object_story_2013,Investigated...,Investigated...,Roboto-Regular SDF,Đang tìm kiếm...,Roboto-Regular SDF,
FALSE,object_story_2014,Investigated...,Investigated...,Roboto-Regular SDF,Đang tìm kiếm...,Roboto-Regular SDF,
FALSE,object_story_2015,Investigated...,Investigated...,Roboto-Regular SDF,Đang tìm kiếm...,Roboto-Regular SDF,
FALSE,object_story_2016,Investigated...,Investigated...,Roboto-Regular SDF,Đang tìm kiếm...,Roboto-Regular SDF,
FALSE,object_story_2017,Investigated...,Investigated...,Roboto-Regular SDF,Đang tìm kiếm...,Roboto-Regular SDF,
FALSE,object_story_2018,Investigated...,Investigated...,Roboto-Regular SDF,Đang tìm kiếm...,Roboto-Regular SDF,
FALSE,object_story_2019,Investigated...,Investigated...,Roboto-Regular SDF,Đang tìm kiếm...,Roboto-Regular SDF,
FALSE,object_story_2020,Investigated...,Investigated...,Roboto-Regular SDF,Đang tìm kiếm...,Roboto-Regular SDF,
FALSE,object_story_2021,Investigated...,Investigated...,Roboto-Regular SDF,Đang tìm kiếm...,Roboto-Regular SDF,
FALSE,object_story_2022,Investigated...,Investigated...,Roboto-Regular SDF,Đang tìm kiếm...,Roboto-Regular SDF,
FALSE,object_story_2023,Investigated...,Investigated...,Roboto-Regular SDF,Đang tìm kiếm...,Roboto-Regular SDF,
FALSE,object_story_2024,Investigated...,Investigated...,Roboto-Regular SDF,Đang tìm kiếm...,Roboto-Regular SDF,
FALSE,object_story_2025,Investigated...,Investigated...,Roboto-Regular SDF,Đang tìm kiếm...,Roboto-Regular SDF,
FALSE,object_story_2026,Investigated...,Investigated...,Roboto-Regular SDF,Đang tìm kiếm...,Roboto-Regular SDF,
FALSE,object_story_2027,Investigated...,Investigated...,Roboto-Regular SDF,Đang tìm kiếm...,Roboto-Regular SDF,
FALSE,object_story_2028,Investigated...,Investigated...,Roboto-Regular SDF,Đang tìm kiếm...,Roboto-Regular SDF,
FALSE,object_battle_info_3000,Randomly trigger an entity,Randomly trigger an entity,Roboto-Regular SDF,Triệu hồi ngẫu nhiên một thực thể,Roboto-Regular SDF,
FALSE,object_battle_info_2001,"When the rider steps on this square, the character loses 3 HP. After that, the monster will disappear.","When the rider steps on this square, the character loses 3 HP. After that, the monster will disappear.",Roboto-Regular SDF,"Khi nhân vật bước vào ô này, nhân vật bị trừ 3 HP. Sau đó, quái vật sẽ biến mất.",Roboto-Regular SDF,
FALSE,object_battle_info_2002,"When passing through, the character loses 3 HP but can move forward 2 cells. The bomb will disappear when the character touches it.","When passing through, the character loses 3 HP but can move forward 2 cells. The bomb will disappear when the character touches it.",Roboto-Regular SDF,"Khi đi qua, nhân vật bị trừ 3 HP nhưng được tiến về phía trước mặt 2 ô. Bom sẽ biến mất khi nhân vật chạm vào.",Roboto-Regular SDF,
FALSE,object_battle_info_2003,"Each time the character passes through a spike, the character loses 1 HP.","Each time the character passes through a spike, the character loses 1 HP.",Roboto-Regular SDF,"Mỗi lần đi qua đinh nhọn, nhân vật bị trừ 1 HP.",Roboto-Regular SDF,
FALSE,object_battle_info_2004,"Each time the rider passes through a spike, the character loses 1 HP.","Each time the rider passes through a spike, the character loses 1 HP.",Roboto-Regular SDF,Hồi phục 1 HP. Nhân vật chạm vào sẽ biến mất.,Roboto-Regular SDF,
FALSE,object_battle_info_2005,"Increases the rider's moves by 2, then disappears.","Increases the rider's moves by 2, then disappears.",Roboto-Regular SDF,"Tăng thêm 2 lượt di chuyển cho nhân vật, sau đó sẽ biến mất.",Roboto-Regular SDF,
FALSE,object_battle_info_2006,Immediately teleport the character to the opposite portal location.,Immediately teleport the character to the opposite portal location.,Roboto-Regular SDF,Lập tức dịch chuyển nhân vật tới vị trị đặt cổng dịch chuyển đối diện.,Roboto-Regular SDF,
FALSE,object_battle_info_2007,"The player can move the wall to an adjacent cell in the direction of the character's movement. Walls can be pre-placed on the playing field or appear randomly when pandora's box is activated. If activated by pandora's box, a wall appears at pandora's box and pushes the player back 1 space.","The player can move the wall to an adjacent cell in the direction of the character's movement. Walls can be pre-placed on the playing field or appear randomly when pandora's box is activated. If activated by pandora's box, a wall appears at pandora's box and pushes the player back 1 space.",Roboto-Regular SDF,"Người chơi có thể di chuyển tường sang 1 ô liền kề theo hướng di chuyển của nhân vật. Tường có thể được xếp sẵn trên sân chơi hoặc xuất hiện ngẫu nhiên khi kích hoạt hộp pandora. Nếu kích hoạt bởi hộp pandora, tường xuất hiện tại vị trí hộp pandora và đẩy lui người chơi về sau 1 ô.",Roboto-Regular SDF,
FALSE,object_battle_info_2008,"Unlock the locked gate. After successfully unlocking 1, the character recovers 1 HP. Keys can be accumulated.","Unlock the locked gate. After successfully unlocking 1, the character recovers 1 HP. Keys can be accumulated.",Roboto-Regular SDF,"Mở khoá cổng khóa. Sau khi mở khoá thành công 1, nhân vật được hồi phục 1 HP. Chìa khóa có thể được tích lũy.",Roboto-Regular SDF,
FALSE,object_battle_info_2009,"Blocks the player's movement, can only be removed when the character has found a key.","Blocks the player's movement, can only be removed when the character has found a key.",Roboto-Regular SDF,"Chặn di chuyển của người chơi, chỉ có thể phá bỏ khi nhân vật đã tìm được 1 chìa khoá.",Roboto-Regular SDF,
FALSE,object_battle_info_2010,Flash to a position 3 cells away in the direction of the character's movement. Ignore all obstacles on the flash path.,Flash to a position 3 cells away in the direction of the character's movement. Ignore all obstacles on the flash path.,Roboto-Regular SDF,Tốc biến tới vị trí cách 3 ô theo hướng di chuyển của nhân vật. Bỏ qua tất cả chướng ngại vật trên đường tốc biến.,Roboto-Regular SDF,
FALSE,object_battle_info_2011,"When the character runs out of HP for the first time, the character will not die and will reset to 1 HP. This buff only works for the next 3 moves after possession.","When the character runs out of HP for the first time, the character will not die and will reset to 1 HP. This buff only works for the next 3 moves after possession.",Roboto-Regular SDF,"Khi lần đầu tiên hết HP, nhân vật sẽ không chết và đặt về 1 HP. Bùa lợi này chỉ có tác dụng trong 3 move tiếp theo từ khi sở hữu.",Roboto-Regular SDF,
FALSE,object_battle_info_2012,Immediately removes all entities in the same row as the character. The character is restored to 1 HP.,Immediately removes all entities in the same row as the character. The character is restored to 1 HP.,Roboto-Regular SDF,Lập tức xoá bỏ tất cả thực thể trong cùng hàng với nhân vật. Nhân vật được hồi phục 1 HP.,Roboto-Regular SDF,
FALSE,object_battle_info_2013,Immediately delete all entities in the same column as the character. The character is restored to 1 HP.,Immediately delete all entities in the same column as the character. The character is restored to 1 HP.,Roboto-Regular SDF,Lập tức xoá bỏ tất cả thực thể trong cùng cột với nhân vật. Nhân vật được hồi phục 1 HP.,Roboto-Regular SDF,
FALSE,object_battle_info_2014,Immediately removes all 4-cell entities surrounding the character's standing position. The character is restored to 1 HP.,Immediately removes all 4-cell entities surrounding the character's standing position. The character is restored to 1 HP.,Roboto-Regular SDF,Lập tức xoá bỏ tất cả thực thể 4 ô xung quanh vị trí đứng của nhân vật. Nhân vật được hồi phục 1 HP.,Roboto-Regular SDF,
FALSE,object_battle_info_2015,Instantly summons 4 Monsteras around the character's standing position. The summoned Monstera is then treated as a normal obstacle.,Instantly summons 4 Monsteras around the character's standing position. The summoned Monstera is then treated as a normal obstacle.,Roboto-Regular SDF,Ngay lập tức triệu hồi 4 Monstera xung quanh vị trí đứng của nhân vật. Monstera được triệu hồi sau đó được xem như 1 chướng ngại vật bình thường.,Roboto-Regular SDF,
FALSE,object_battle_info_2016,Reduce current HP by 2 to gain 4 more moves.,Reduce current HP by 2 to gain 4 more moves.,Roboto-Regular SDF,Giảm 2 HP đang có để có thêm 4 nước đi.,Roboto-Regular SDF,
FALSE,object_battle_info_2017,Adds 1 move and restores 1 HP to the character.,Adds 1 move and restores 1 HP to the character.,Roboto-Regular SDF,Cộng thêm 1 nước đi và hồi phục 1 HP cho nhân vật.,Roboto-Regular SDF,
FALSE,object_battle_info_2018,Minus 10 character's HP.,Minus 10 character's HP.,Roboto-Regular SDF,Trừ 10 HP của nhân vật.,Roboto-Regular SDF,
FALSE,object_battle_info_2019,Subtract the player's 4 available moves.,Subtract the player's 4 available moves.,Roboto-Regular SDF,Trừ 4 nước đi đang có của người chơi.,Roboto-Regular SDF,
FALSE,object_battle_info_2020,Remove all obstacles in row with the character.,Remove all obstacles in row with the character.,Roboto-Regular SDF,Loại bỏ tất cả chướng ngại vật cùng hàng với nhân vật.,Roboto-Regular SDF,
FALSE,object_battle_info_2021,Remove all obstacles in column with the character.,Remove all obstacles in column with the character.,Roboto-Regular SDF,Loại bỏ tất cả chướng ngại vật cùng cột với nhân vật.,Roboto-Regular SDF,
FALSE,object_battle_info_2022,Get 3 gold.,Get 3 gold.,Roboto-Regular SDF,Nhận 3 vàng.,Roboto-Regular SDF,
FALSE,object_battle_info_2023,"Increases character skill usage by 1 time. If the maximum number of skill uses has been reached, the charm does not stack.","Increases character skill usage by 1 time. If the maximum number of skill uses has been reached, the charm does not stack.",Roboto-Regular SDF,"Tăng thêm 1 lần sử dụng kỹ năng nhân vật. Nếu số lượt sử dụng kỹ năng đã đạt tối đa, bùa không cộng dồn.",Roboto-Regular SDF,
FALSE,object_battle_info_2024,Forced to move forward 2 spaces but minus 4 moves.,Forced to move forward 2 spaces but minus 4 moves.,Roboto-Regular SDF,Bắt buộc tiến về phía trước 2 ô nhưng bị trừ 4 nước đi.,Roboto-Regular SDF,
FALSE,object_battle_info_2025,Minus 3 HP and 3 available moves.,Minus 3 HP and 3 available moves.,Roboto-Regular SDF,Trừ 3 HP và 3 nước đi đang có.,Roboto-Regular SDF,
FALSE,object_battle_info_2026,"Just a decorative tree, it cannot be passed through but can be removed by a destruction spell.","Just a decorative tree, it cannot be passed through but can be removed by a destruction spell.",Roboto-Regular SDF,"Chỉ là một cái cây trang trí, không thể đi qua được nhưng có thể bị gỡ bỏ bởi bùa phá huỷ",Roboto-Regular SDF,
FALSE,object_battle_info_2027,"Just a decorative piece of water, impassable but can be removed by a destruction spell.","Just a decorative piece of water, impassable but can be removed by a destruction spell.",Roboto-Regular SDF,"Chỉ là một phần nước trang trí, không thể đi qua được nhưng có thể bị gỡ bỏ bởi bùa phá huỷ",Roboto-Regular SDF,
FALSE,object_battle_info_2028,"Just an ornamental bush, impassable but can be removed with a destruction spell.",,Roboto-Regular SDF,"Chỉ là một bụi cỏ trang trí, không thể đi qua được nhưng có thể bị gỡ bỏ bởi bùa phá huỷ",Roboto-Regular SDF,
